ID,q1,q3,V0,c0,T0
1,4.31457928,0.014016229,0.0005,0.005288674,0.108666789
2,7.272499249,9.767823899,0.0005,0.005075519,0.029257951
3,0.248739238,3.772037344,0.0005,0.005354407,0.131879465
4,3.196084794,9.738097548,0.0005,0.005100361,0.038854557
5,1.678842467,6.051113849,0.0005,0.005170946,0.065617885
6,1.148144525,8.290169622,0.0005,0.005139647,0.053841186
7,2.064103462,5.751367932,0.0005,0.00516842,0.064672782
8,3.617662018,6.284481221,0.0005,0.005131079,0.05059223
9,4.11704948,2.862907054,0.0005,0.005184818,0.070792107
10,5.502367298,5.872465073,0.0005,0.005113165,0.043764162
11,4.335766412,7.502717419,0.0005,0.005109252,0.042266407
12,6.930142151,8.584555226,0.0005,0.005082903,0.032120488
13,2.241519064,7.553271063,0.0005,0.005133554,0.051531952
14,8.811355389,6.983591912,0.0005,0.005081135,0.031435817
15,0.514717924,8.646149506,0.0005,0.005144642,0.055730211
16,6.786275193,3.233583158,0.0005,0.005127418,0.049200488
17,4.31733723,6.71118002,0.0005,0.005117277,0.045335823
18,5.696177191,4.514230625,0.0005,0.005125779,0.048577175
19,1.616730049,3.827206493,0.0005,0.005245832,0.093224605
20,2.179584057,4.114005386,0.0005,0.005209866,0.080064939
21,8.056786076,4.020781039,0.0005,0.005105685,0.040898811
22,9.690474947,3.18066562,0.0005,0.005098831,0.038265976
23,3.304254304,6.222974486,0.0005,0.005136508,0.052651968
24,6.999414403,4.308170236,0.0005,0.005113145,0.043756353
25,8.794500512,9.738282758,0.0005,0.005069352,0.026861425
26,8.972164535,6.781230905,0.0005,0.005081318,0.031506648
27,1.077006954,1.993713185,0.0005,0.005455438,0.166466598
28,0.62850075,4.272743083,0.0005,0.005280948,0.105900594
29,1.903873952,3.440028935,0.0005,0.00524914,0.094425952
30,8.811599852,7.978411652,0.0005,0.005076415,0.029605983
31,1.206739132,8.801182903,0.0005,0.005131404,0.05071547
32,4.354423787,9.039381139,0.0005,0.005096562,0.037393031
33,9.589322857,6.630570926,0.0005,0.005078931,0.030581713
34,5.447252241,2.709380538,0.0005,0.005156893,0.060348064
35,6.995069703,2.531143348,0.0005,0.005133658,0.051571308
36,3.324650939,8.550430448,0.0005,0.005109332,0.04229685
37,6.942639112,5.281869317,0.0005,0.005104846,0.040577049
38,8.38720734,8.023589229,0.0005,0.005078211,0.030302523
39,0.425977972,5.729160287,0.0005,0.005220574,0.084001648
40,7.563313367,7.334093828,0.0005,0.005086168,0.033383329
41,9.891369149,5.194926158,0.0005,0.005084663,0.032801242
42,7.544016724,7.711130266,0.0005,0.005084182,0.0326152
43,2.982619122,5.692891327,0.0005,0.005150339,0.057880355
44,7.94497274,4.662441687,0.0005,0.005101389,0.039249661
45,1.25432266,3.43346219,0.0005,0.005289697,0.109032607
46,4.615649971,0.691411391,0.0005,0.005238423,0.090528549
47,9.108588961,3.785462551,0.0005,0.005098835,0.038267568
48,3.111059441,0.805464516,0.0005,0.005327016,0.122276302
49,3.054117171,9.828342966,0.0005,0.005100813,0.039028285
50,1.515711362,1.824312385,0.0005,0.00540692,0.150018177
