ID,q1,q3,V0,c0,T0
1,0.226731679,6.711541485,0.005,0.099761363,0.995
2,0.573145593,1.774839483,0.005,0.041997053,0.995
3,0.788848319,6.183849449,0.005,0.030867853,0.995
4,0.442971481,5.650663089,0.005,0.053676102,0.995
5,1.514037652,7.124628363,0.005,0.016324212,0.995
6,1.034634364,4.735443181,0.005,0.023708791,0.995
7,2.032459592,4.302566362,0.005,0.012211221,0.995
8,0.468648933,2.551799983,0.005,0.050884817,0.995
9,1.748855015,9.276445304,0.005,0.014163417,0.995
10,0.605465963,3.850135526,0.005,0.039844534,0.995
11,1.432591724,1.11423061,0.005,0.017236283,0.995
12,0.874594851,1.788590309,0.005,0.027926038,0.995
13,0.151125722,0.210278702,0.005,0.142555664,0.995
14,0.576871497,9.408545067,0.005,0.041737123,0.995
15,1.655272366,5.617622466,0.005,0.014952189,0.995
16,1.241905872,8.960229189,0.005,0.019830311,0.995
17,1.295829499,5.638730445,0.005,0.019020804,0.995
18,0.442858197,9.386164599,0.005,0.053689095,0.995
19,1.423912673,8.333535651,0.005,0.01733952,0.995
20,2.479394001,2.210361106,0.005,0.010032115,0.995
21,2.033657673,5.504692869,0.005,0.012204115,0.995
22,1.482520841,1.900078563,0.005,0.016665464,0.995
23,2.427951611,1.991486455,0.005,0.010242494,0.995
24,2.243564673,1.298390357,0.005,0.011074948,0.995
25,1.485581243,4.301719318,0.005,0.016631703,0.995
26,0.090334184,3.477188841,0.005,0.217613624,0.995
27,0.241831377,5.701315236,0.005,0.094118632,0.995
28,0.171954318,4.54583163,0.005,0.127489522,0.995
29,1.129140501,7.390723582,0.005,0.021767621,0.995
30,0.940116217,4.564159402,0.005,0.026030397,0.995
31,2.426368444,5.30341637,0.005,0.010249108,0.995
32,0.426168057,8.386184023,0.005,0.055674673,0.995
33,2.420020154,1.58162922,0.005,0.010275718,0.995
34,1.911370779,7.136615507,0.005,0.012974787,0.995
35,2.051997474,3.647678357,0.005,0.01209636,0.995
36,1.577265949,3.656558606,0.005,0.01568008,0.995
37,1.666743432,3.277748651,0.005,0.014850811,0.995
38,1.191446026,7.97068261,0.005,0.020652814,0.995
39,0.042544499,3.899701686,0.005,0.371295713,0.995
40,0.884550403,9.949152422,0.005,0.027620414,0.995
41,1.229076979,3.34757598,0.005,0.020033149,0.995
42,1.818755115,5.094978065,0.005,0.013626493,0.995
43,1.170997283,5.609397345,0.005,0.021005892,0.995
44,1.143191948,9.896273598,0.005,0.021505821,0.995
45,0.351050794,2.5380696,0.005,0.06679214,0.995
